bug_line,signal,is_libc,is_rfsimulator,category,test_case
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_350_mut2/ue_crash_0_20251214_165542.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_350_mut2/ue_crash_0_20251214_165558.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_350_mut2/ue_crash_1_20251214_165528.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_350_mut2/ue_crash_1_20251214_165545.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_350_mut2/ue_crash_1_20251214_165602.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_350_mut2/ue_crash_2_20251214_165533.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_350_mut2/ue_crash_2_20251214_165549.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_350_mut2/ue_crash_2_20251214_165606.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:3676,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_102_mut2/ue_crash_0_20251214_141446.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:3676,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_102_mut2/ue_crash_0_20251214_141503.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:3676,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_102_mut2/ue_crash_0_20251214_141520.log
